,Fav_2016,Fav_2017,Fav_2018,Fav_2019,Apertura_2020
0,0,1,0,1,1
1,0,0,0,0,0
2,0,0,1,0,1
3,0,0,0,0,1
4,0,0,0,0,0
5,0,1,0,0,1
6,0,0,0,0,0
7,0,1,0,0,0
8,0,0,0,0,1
9,0,0,0,0,1
10,0,0,0,1,1
11,0,0,0,0,1
12,1,0,0,0,0
13,1,0,0,0,0
14,0,0,0,1,0
15,0,1,0,0,1
16,0,0,0,1,0
17,0,0,0,0,0
18,0,1,1,1,0
19,0,0,1,1,0
20,0,1,0,1,1
21,0,0,0,0,0
22,0,0,0,0,1
23,0,0,0,0,1
24,0,0,0,0,0
25,0,0,0,0,1
26,0,0,0,0,1
27,0,0,0,0,0
28,0,0,0,0,1
29,0,0,0,0,0
30,0,0,0,0,1
31,0,0,0,0,0
32,0,0,0,0,1
33,0,0,0,0,1
34,0,0,1,0,0
35,0,0,0,0,0
36,0,0,1,0,1
37,0,0,0,1,1
38,0,0,0,1,1
39,0,0,0,0,1
40,0,0,0,0,0
41,0,0,0,0,1
42,0,0,0,0,0
43,0,0,0,0,1
44,0,0,0,0,0
45,0,0,0,0,1
46,0,0,0,0,1
47,0,0,0,0,1
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,1
52,0,0,0,0,0
53,0,0,0,0,1
54,0,0,0,0,1
55,0,0,0,0,1
56,0,0,1,0,0
57,0,0,1,0,1
58,0,0,0,1,1
59,1,1,0,0,0
60,0,0,1,0,1
61,0,0,0,0,1
62,0,0,0,0,0
63,0,0,0,1,1
64,0,0,0,0,1
65,0,0,0,0,0
66,0,0,0,0,1
67,0,0,0,0,1
68,0,0,0,0,0
69,0,0,0,0,1
70,0,0,0,0,1
71,0,0,0,0,1
72,0,0,1,0,0
73,0,1,0,1,0
74,0,0,0,1,0
75,0,0,1,0,1
76,0,0,0,1,1
77,0,1,1,1,0
78,0,0,0,0,1
79,0,1,0,0,0
80,0,0,1,1,0
81,0,0,0,0,1
82,0,0,0,0,1
83,0,0,0,0,1
84,0,0,1,0,0
85,0,0,0,0,1
86,0,0,0,1,1
87,0,0,0,0,0
88,0,0,0,0,1
89,0,0,0,1,1
90,0,0,0,0,0
91,0,1,0,0,1
92,0,0,1,1,1
93,0,0,0,0,1
94,0,0,1,1,0
95,0,0,0,0,1
96,0,0,1,0,1
97,0,0,0,0,1
98,0,0,0,0,0
99,0,1,0,0,1
100,0,0,0,0,1
101,0,0,0,0,0
102,0,0,0,0,1
103,0,0,0,0,0
104,0,0,1,1,0
105,0,1,0,0,1
106,0,0,1,0,0
107,1,1,0,0,1
108,0,0,1,0,1
109,1,0,0,0,1
110,0,0,0,0,0
111,0,1,0,1,1
112,0,0,0,1,0
113,0,0,0,0,1
114,0,0,0,0,1
115,0,0,1,1,0
116,0,0,0,0,1
117,0,0,0,0,0
118,0,0,0,0,1
119,0,1,0,0,0
120,0,0,0,0,1
121,0,0,0,0,1
122,1,0,0,0,1
123,0,0,0,0,1
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,1,0,0
127,0,0,0,0,0
128,1,0,1,1,1
129,0,0,0,0,1
