,VIS_ 2016,Fav_2016,VIS_ 2017,Fav_2017, VIS_2018,Fav_2018,VIS_ 2019,Fav_2019,Fav_2020
0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,0,1
2,0,0,1,0,1,1,1,1,1
3,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0
5,0,0,1,1,0,0,0,0,1
6,0,0,1,0,1,0,1,0,1
7,0,0,1,1,1,0,0,0,1
8,0,0,0,0,1,0,0,0,1
9,0,0,0,0,0,0,0,0,1
10,0,0,1,0,0,0,1,1,0
11,0,0,0,0,0,0,0,0,0
12,1,1,1,0,0,0,0,0,1
13,1,1,1,0,1,0,1,0,1
14,0,0,0,0,1,0,1,1,1
15,0,0,1,1,0,0,0,0,1
16,0,0,0,0,1,0,1,1,1
17,0,0,0,0,0,0,0,0,1
18,0,0,1,1,1,1,1,1,1
19,0,0,0,0,1,1,1,1,1
20,0,0,1,1,0,0,1,1,1
21,0,0,1,0,1,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,1,0,0,0,0
30,0,0,0,0,1,0,0,0,1
31,0,0,1,0,1,0,0,0,1
32,0,0,0,0,1,0,0,0,1
33,0,0,0,0,1,0,0,0,0
34,0,0,0,0,1,1,0,0,1
35,0,0,0,0,0,0,0,0,1
36,0,0,0,0,1,1,0,0,1
37,0,0,0,0,1,0,1,1,1
38,0,0,0,0,1,0,1,1,1
39,1,0,0,0,1,0,1,0,0
40,1,0,0,0,0,0,0,0,0
41,0,0,0,0,1,0,0,0,0
42,0,0,0,0,1,0,0,0,0
43,0,0,0,0,1,0,0,0,1
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,1
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,1
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
